Price,Capital Gains,Capital Gains,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,returns,outlier
Ticker,BND,SPY,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,0.0,0.0,61.23773193359375,175.35548400878906,17.858667373657227,0.0,0.0,0.0,61.47077327420986,175.4819249845422,18.34666633605957,61.23773193359375,172.05945203800184,17.384666442871094,61.41063745868614,174.46193347942804,18.333332061767578,0.0,0.0,0.0,4183200,173820200,91576500,0.006288814185505309,1
2015-07-08,0.0,0.0,61.41063690185547,172.4134979248047,16.997333526611328,0.0,0.0,0.0,61.46325932459531,174.29332663471078,17.386667251586914,61.31290544861438,172.17746619722743,16.95400047302246,61.37304699900675,174.00671851733333,17.288000106811523,0.0,0.0,0.0,1967800,164020100,93316500,-0.01677726876130614,1
2015-07-09,0.0,0.0,61.20768356323242,172.72535705566406,17.19466781616211,0.0,0.0,0.0,61.327966709137534,174.79065352152926,17.530000686645508,61.17761277675615,172.61577918893985,17.119333267211914,61.31292844819136,174.5293207925428,17.27199935913086,0.0,0.0,0.0,1670900,144113100,50011500,0.0018087860556914581,1
2015-07-10,0.0,0.0,60.921958923339844,174.90023803710938,17.27666664123535,0.0,0.0,0.0,61.01217119277921,175.3217250277559,17.53333282470703,60.85429828740772,172.76751489345892,17.187999725341797,60.906920677394766,174.74007092262175,17.481332778930664,0.0,0.0,0.0,2038300,129456900,39163500,0.012591555857918602,1
2015-07-13,0.0,0.0,60.77912139892578,176.8307342529297,17.477333068847656,0.0,0.0,0.0,60.899404419175085,176.94031217252333,17.503332138061523,60.77160227630768,176.1310639939443,17.06999969482422,60.78664052154389,176.17321528429628,17.483333587646484,0.0,0.0,0.0,2846500,106069400,44404500,0.011037699190613592,1
2015-07-14,0.0,0.0,60.89194869995117,177.5978240966797,17.709999084472656,0.0,0.0,0.0,60.94457114225054,177.90973334269793,17.732667922973633,60.861877913577814,176.72956157349427,17.367332458496094,60.89194869995117,176.78857595019974,17.47333335876465,0.0,0.0,0.0,1567700,81709600,28614000,0.004337989360225114,1
2015-07-15,0.0,0.0,61.064823150634766,177.5387725830078,17.542667388916016,0.0,0.0,0.0,61.087374795061635,178.10356367651093,17.832666397094727,60.87688513319339,177.05827118035907,17.472000122070312,60.89943677762025,177.6399253571386,17.78266716003418,0.0,0.0,0.0,2631000,97914100,30324000,-0.00033250133537521265,1
2015-07-16,0.0,0.0,61.064823150634766,178.96339416503906,17.778667449951172,0.0,0.0,0.0,61.102407312875165,178.96339416503906,17.81333351135254,60.92950754866045,178.3564518173812,17.54400062561035,60.944540066473984,178.6009086333274,17.614667892456055,0.0,0.0,0.0,1063100,106683300,24240000,0.008024284280579774,1
2015-07-17,0.0,0.0,61.07232666015625,179.1151123046875,18.310667037963867,0.0,0.0,0.0,61.13246819250557,179.17412665894074,18.369333267211914,61.04225589398159,178.54189615757733,17.883333206176758,61.07984578555297,178.9549451863001,18.166667938232422,0.0,0.0,0.0,807900,89030000,75061500,0.0008477607409955734,1
2015-07-20,0.0,0.0,60.989646911621094,179.2078399658203,18.817333221435547,0.0,0.0,0.0,61.057307584260094,179.70519153984768,19.110000610351562,60.952062747189174,178.88751859179652,18.16933250427246,61.03475593851825,179.342718893179,18.333332061767578,0.0,0.0,0.0,1026900,70446800,74677500,0.0005176987019110957,1
2015-07-21,0.0,0.0,61.10239028930664,178.499755859375,17.784666061401367,0.0,0.0,0.0,61.139980176487356,179.33430480307854,18.233333587646484,60.96707472503222,178.19628468555217,17.770000457763672,60.98211297406912,179.07297204172738,18.003332138061523,0.0,0.0,0.0,1422900,77965000,91630500,-0.0039511893373658236,1
2015-07-22,0.0,0.0,61.12495803833008,178.1793670654297,17.857999801635742,0.0,0.0,0.0,61.21517035009438,178.51656430133576,17.96266746520996,61.117444647242834,177.77474324510172,17.390666961669922,61.13247716483036,177.80845653731265,17.417999267578125,0.0,0.0,0.0,1624100,88667900,46575000,-0.0017948976591189991,1
2015-07-23,0.0,0.0,61.267757415771484,177.17623901367188,17.81333351135254,0.0,0.0,0.0,61.29782816900998,178.41541161194792,17.99333381652832,61.10989026282664,176.81376642944323,17.684667587280273,61.154993524979524,178.31425886523485,17.976667404174805,0.0,0.0,0.0,1178400,90509100,33408000,-0.005629877736570088,1
